Tempo,PressaoDescarga,PressaoSuccao,CorrenteRMS,CorrenteCurtose,CorrenteAssimetria,CorrenteForma,CorrenteTHD,CorrentePico,CorrenteCrista,CorrenteVariancia,CorrenteDesvio,VibracaoCalotaInferiorRMS,VibracaoCalotaInferiorCurtose,VibracaoCalotaInferiorAssimetria,VibracaoCalotaInferiorForma,VibracaoCalotaInferiorTHD,VibracaoCalotaInferiorPico,VibracaoCalotaInferiorCrista,VibracaoCalotaInferiorVariancia,VibracaoCalotaInferiorDesvio,VibracaoCalotaSuperiorRMS,VibracaoCalotaSuperiorCurtose,VibracaoCalotaSuperiorAssimetria,VibracaoCalotaSuperiorForma,VibracaoCalotaSuperiorTHD,VibracaoCalotaSuperiorPico,VibracaoCalotaSuperiorCrista,VibracaoCalotaSuperiorVariancia,VibracaoCalotaSuperiorDesvio,Vazao
-0.450000308916667,2.118897923,2.091497898,0.0160594085653763,2.73461700125486,0.113442602746852,1.06191019389506,-20.210457167545,0.038425,2.39267840055102,2.92781665706033e-05,0.00541093028698423,0.00381941183396552,2.16781796980188,-0.436486826045523,1.15144561398568,-5.65680596459729,0.012067,3.15938697489749,1.4429163689367e-05,0.00379857390205417,0.00233289519874459,2.91467634997287,0.104606819102814,1.24548400657317,-5.65680596459729,0.008351,3.57967216208168,4.82671873285953e-06,0.0021969794566312,0.1605265886
-0.433333734111111,2.115364674,2.09020257,0.0160528238405088,3.0597382552904,0.190860801172072,1.04631560368829,-16.8694448214265,0.041613,2.59225419860342,2.23542785317523e-05,0.00472803114750234,0.00391118481994789,2.1444174660922,-0.49306036466171,1.16961305807371,-3.80995360524411,0.011727,2.99832417537258,1.52979466615732e-05,0.00391125896120076,0.00217957335616306,2.66836640639196,-0.0949223615965604,1.24880894142459,-3.80995360524411,0.008133,3.73146422303373,4.03647703399053e-06,0.00200909856253757,0.160134241
-0.416667164444444,2.109650398,2.089429617,0.0156418067760153,3.18297843264092,0.137403956212563,1.04395415583921,-16.193918850628,0.038425,2.45655764389826,2.02214872808232e-05,0.0044968308041134,0.00381222081898569,2.16448631648838,-0.397513710849224,1.19495489947335,-2.81110106150956,0.009968,2.61474884937336,1.4533368478763e-05,0.00381226553098849,0.00239869975870164,2.84685321632914,-0.0297373990276493,1.25013127173997,-2.81110106150956,0.008133,3.39058690880188,4.42504489127404e-06,0.00210357906703647,0.1592087299
-0.400000472861111,2.113279231,2.090984821,0.0162353556149264,2.59971300364031,0.104903291029005,1.07353082282211,-25.2256817318932,0.038425,2.36674828142804,3.49756210869576e-05,0.00591401902997932,0.0041486212387377,2.3463841033349,-0.222689819056458,1.22418265667906,-1.00123186517345,0.012811,3.08801388769296,1.72008792911581e-05,0.00414739427727315,0.00283543550810895,2.49637335545867,0.335413708077783,1.18551580828811,-1.00123186517345,0.009122,3.21714247208669,7.46613812308482e-06,0.0027324234889718,0.1605886966
-0.383333778277778,2.109237647,2.089561462,0.0158651846540058,2.56363906895346,0.121604879951635,1.08185644564774,-24.1701643496828,0.038425,2.42196991954317,3.67552063230678e-05,0.0060626072215729,0.00402326564741648,2.19794529051655,-0.324958948039405,1.17886106523139,-4.10226867811256,0.011745,2.91927032149667,1.60360339257493e-05,0.00400450170754731,0.00255762876544691,2.71605415314743,0.13295644668005,1.23153088223376,-4.10226867811256,0.008659,3.38555779360222,5.65555612258078e-06,0.00237814131678098,0.1599863172
-0.36666691975,2.11007492,2.089435816,0.0160645250782635,2.36627405796965,0.100228317293642,1.09838290610816,-23.4162846881182,0.041613,2.5903660268367,4.43633864385102e-05,0.00666058454180338,0.00392037458729789,2.311584267351,-0.410720838682205,1.22945050602322,-2.36023755173954,0.013703,3.49532925868821,1.53294695672777e-05,0.0039152866519934,0.00380968762799414,2.55092904397173,0.392590063879539,1.16896787342853,-2.36023755173954,0.011708,3.07321784441536,1.23669492439379e-05,0.00351666734905904,0.1602700949
-0.350000400833333,2.110050162,2.089566231,0.0157493339957387,2.76422672661756,0.0994018250139487,1.06083714501868,-20.8471385290474,0.035238,2.23742794517752,2.77000868899179e-05,0.00526308720143585,0.00407062065561175,2.24472630521666,-0.325656158570752,1.18682134243876,-3.45964453419861,0.01245,3.0585016520359,1.64653101824559e-05,0.00405774693425501,0.00296095345526738,2.44974737604665,0.232335219107991,1.18552377916909,-3.45964453419861,0.009733,3.28711685173082,7.39243027251783e-06,0.00271890240216854,0.1614480913
-0.333333617083333,2.122011403,2.089048624,0.0162095525062276,2.46364066967574,0.0867746547160633,1.08472964581891,-22.5847109904002,0.038425,2.37051577983029,3.96093951784267e-05,0.00629359954067835,0.0039513514163358,2.16879360290024,-0.409101681686802,1.17060013071194,-5.5379002531677,0.012426,3.1447468703057,1.5590734530212e-05,0.00394851041915961,0.00278633939525706,2.45287796951054,0.271933625773354,1.18946148712694,-5.5379002531677,0.009709,3.48450013538436,6.27489756952046e-06,0.00250497456464541,0.1610672474
-0.31666708725,2.115678507,2.088399172,0.0151226835260448,3.49847488725589,0.174518026383757,1.03682261696232,-12.5418995481514,0.038425,2.54088501778294,1.60067836719174e-05,0.00400084786912942,0.00372362598217251,2.29770316814752,-0.178825405223001,1.21346007052301,-4.04798011285655,0.012323,3.30940864066328,1.38435723882629e-05,0.00372069514852573,0.00325389491340001,2.20198944838824,0.178552002987799,1.17310939104114,-4.04798011285655,0.009202,2.82799544696568,9.52299645933706e-06,0.00308593526492975,0.1600692123
-0.300000245055556,2.111682294,2.086845398,0.0159197822384556,2.38162979228396,0.0949820075733481,1.09907760408802,-23.2712925294401,0.038425,2.4136636685382,4.38270928838468e-05,0.00662020338689431,0.00392027645731501,2.08945471437617,-0.233476509938048,1.20281126911665,-4.32320580329577,0.009467,2.41488071136798,1.53677798295834e-05,0.00392017599472057,0.00268934553694326,2.28721636853888,0.238497484784999,1.18579944960168,-4.32320580329577,0.007524,2.79770668984092,6.15667551541372e-06,0.00248126490230562,0.1599569321
